custID,Gender,IsRetired,IsMarried,HasChildren,TotalMonthsInContract,HasPhone,ConnectionType,HasAntivirusSubscription,HasCloudBackUp,HasInsurance,HasHelpdeskPrivileges,HasTVPackage,HasMoviePackage,PayTerm,OnlineStatements,PreferredPaymentType,MonthlyBill,TotalFees,MonthlySpend,RetentionCheck,Retention
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,53.72,Yes,Yes
0191-ZHSKZ,Male,1,No,No,30,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,78.91,Yes,Yes
3887-PBQAO,Female,0,Yes,Yes,45,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,29.19,Yes,Yes
5919-TMRGD,Female,0,No,Yes,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,79.98,Yes,No
8108-UXRQN,Female,0,Yes,Yes,11,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,48.37,Yes,Yes
9191-MYQKX,Female,0,Yes,No,7,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,70.95,No,No
9919-YLNNG,Female,0,No,No,42,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,103.3,Yes,Yes
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,18.87,Yes,Yes
4445-ZJNMU,Male,0,No,No,9,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,96.82,Yes,Yes
4808-YNLEU,Female,0,Yes,No,35,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,65.16,Yes,Yes
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057,20.2,Yes,Yes
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,16.87,Yes,Yes
3016-KSVCP,Male,0,Yes,No,29,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,34.93,Yes,Yes
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,78.98,Yes,Yes
2424-WVHPL,Male,1,No,No,1,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,72.52,Yes,Yes
7233-PAHHL,Male,0,Yes,Yes,66,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,85.29,Yes,Yes
6067-NGCEU,Female,0,No,No,65,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107,110.54,Yes,Yes
9848-JQJTX,Male,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,99.24,Yes,Yes
8637-XJIVR,Female,0,No,No,12,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,80.65,No,No
9803-FTJCG,Male,0,Yes,Yes,71,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,67.79,Yes,Yes
0278-YXOOG,Male,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,21.86,No,No
3212-KXOCR,Male,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,23.07,Yes,Yes
4598-XLKNJ,Female,1,Yes,No,25,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,97.4,No,No
6380-ARCEH,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,21.27,Yes,Yes
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,17.39,Yes,Yes
7123-WQUHX,Male,0,No,No,38,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,£3605.6,98.92,Yes,Yes
5386-THSLQ,Female,1,Yes,No,66,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,48.0,Yes,Yes
3192-NQECA,Male,0,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,£7611.85,109.92,No,No
6180-YBIQI,Male,0,No,No,5,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,23.33,Yes,Yes
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,104.92,Yes,Yes
9750-BOOHV,Female,0,No,No,32,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,28.77,Yes,Yes
8597-CWYHH,Male,0,No,No,43,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,91.69,Yes,Yes
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,£1363.25,23.76,Yes,Yes
0486-HECZI,Male,0,Yes,No,55,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,95.65,No,No
4549-ZDQYY,Female,0,No,No,52,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,62.09,Yes,Yes
5712-AHQNN,Female,0,No,No,43,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,91.16,Yes,Yes
4846-WHAFZ,Female,1,Yes,No,37,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,76.98,No,No
5256-SKJGO,Female,0,Yes,Yes,64,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,£3423.5,53.86,Yes,Yes
3071-VBYPO,Male,0,Yes,Yes,3,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,84.74,Yes,Yes
9560-BBZXK,Female,0,No,No,36,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,28.8,Yes,Yes
5299-RULOA,Female,0,Yes,Yes,10,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,£1064.65,94.57,No,No
8402-OOOHJ,Female,0,No,No,41,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,21.37,Yes,Yes
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,86.09,Yes,Yes
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,101.81,Yes,Yes
2928-HLDBA,Female,0,No,No,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,£112.75,20.15,No,Yes
0404-SWRVG,Male,0,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,77.1,No,No
6497-TILVL,Female,0,Yes,Yes,7,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,53.98,Yes,Yes
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,£62.9,18.75,Yes,Yes
4622-YNKIJ,Male,0,No,No,33,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,83.87,Yes,Yes
4412-YLTKF,Female,1,No,No,27,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,79.74,No,No
6734-PSBAW,Male,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,23.2,Yes,Yes
3930-ZGWVE,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,22.47,Yes,Yes
2639-UGMAZ,Male,1,No,No,71,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45,3985.35,50.88,Yes,Yes
2876-GZYZC,Female,0,No,No,13,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,78.65,Yes,Yes
6207-WIOLX,Female,0,Yes,Yes,25,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,55.88,Yes,No
8587-XYZSF,Male,0,No,No,67,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,£3260.1,53.35,Yes,Yes
3091-FYHKI,Male,0,No,No,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,£35.45,34.35,No,No
2372-HWUHI,Male,0,No,No,2,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,44.22,No,No
7799-LGRDP,Female,0,No,No,43,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,30.32,Yes,Yes
7850-VWJUU,Female,0,No,No,23,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,75.75,Yes,Yes
3774-VBNXY,Female,0,Yes,Yes,64,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.2,1277.75,23.01,Yes,Yes
6217-KDYWC,Male,0,No,Yes,57,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,1170.55,23.18,Yes,Yes
0390-DCFDQ,Female,1,Yes,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,68.06,No,No
3146-MSEGF,Female,1,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,93.98,Yes,Yes
4080-OGPJL,Female,0,No,No,8,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,66.72,No,No
1095-WGNGG,Female,0,Yes,No,61,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),101.05,5971.25,100.26,Yes,Yes
2636-SJDOU,Male,0,No,No,64,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),84.3,5289.05,89.57,Yes,Yes
1131-QQZEB,Male,1,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,1756.2,27.29,No,Yes
5716-EZXZN,Female,0,Yes,Yes,65,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,6416.7,101.24,Yes,Yes
6837-BJYDQ,Male,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.6,61.35,15.41,Yes,Yes
2135-RXIHG,Male,0,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,50.83,No,No
6440-DKQGE,Male,0,No,Yes,30,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,£1929.95,68.29,Yes,Yes
3466-BYAVD,Male,0,Yes,Yes,15,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,69.5,1071.4,72.73,Yes,Yes
3780-YVMFA,Female,0,Yes,Yes,8,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,65.44,Yes,Yes
3874-EQOEP,Male,0,No,No,7,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,99.03,No,No
1679-JRFBR,Female,0,Yes,Yes,70,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),108.15,7930.55,109.41,No,Yes
9073-ZZIAY,Male,0,Yes,Yes,62,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,86.1,5215.25,87.92,Yes,Yes
3077-RSNTJ,Female,0,Yes,Yes,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,113.5,24.1,Yes,Yes
6551-GNYDG,Female,0,Yes,Yes,14,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,82.5,Yes,Yes
9167-APMXZ,Female,0,No,No,22,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.15,1821.95,80.83,Yes,Yes
2749-CTKAJ,Male,0,Yes,Yes,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.15,419.9,16.36,Yes,Yes
